,image_path,seg_path
0,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000032.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000032.png
1,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000033.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000033.png
2,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000039.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000039.png
3,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000042.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000042.png
4,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000061.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000061.png
5,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000063.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000063.png
6,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000068.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000068.png
7,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000121.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000121.png
8,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000123.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000123.png
9,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000129.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000129.png
10,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000170.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000170.png
11,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000175.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000175.png
12,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000187.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000187.png
13,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000241.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000241.png
14,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000243.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000243.png
15,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000250.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000250.png
16,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000256.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000256.png
17,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000323.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000323.png
18,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000332.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000332.png
19,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000333.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000333.png
20,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000346.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000346.png
21,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000363.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000363.png
22,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000364.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000364.png
23,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000392.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000392.png
24,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000452.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000452.png
25,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000464.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000464.png
26,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000480.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000480.png
27,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000491.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000491.png
28,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000504.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000504.png
29,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000515.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000515.png
30,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000528.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000528.png
31,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000529.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000529.png
32,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000549.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000549.png
33,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000559.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000559.png
34,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000572.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000572.png
35,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000584.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000584.png
36,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000629.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000629.png
37,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000636.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000636.png
38,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000645.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000645.png
39,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000648.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000648.png
40,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000661.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000661.png
41,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000663.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000663.png
42,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000676.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000676.png
43,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000713.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000713.png
44,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000720.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000720.png
45,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000727.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000727.png
46,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000733.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000733.png
47,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000738.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000738.png
48,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000762.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000762.png
49,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000768.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000768.png
50,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000783.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000783.png
51,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\JPEGImages\2007_000793.jpg,C:\Users\neetm\Desktop\DL\pascal\VOCdevkit\VOC2012\SegmentationClass\2007_000793.png
